Surname	Given names	Date of Birth	Place of Birth	Selection	Position	Status	Flights	d	h	m	Marital status	Children	Nation	Date of Death	Place of Death
Graveline	Duane Edgar	02.03.1931	Newport / Vermont	28.06.1965	PLT	Ret. 18.08.1965	 	0	0	0	married	five	USA	05.09.2016	Brevard county / Florida
Gregory	Frederick Drew	07.01.1941	Washington D.C.	16.01.1978	CDR	Ret. ??.04.1993	3	18	23	4	married	two	USA	 	 
Gregory	William George "Borneo"	14.05.1957	Lockport / New York	17.01.1990	PLT	Ret. 00.07.1999	1	16	15	8	married	two	USA	 	 
Griggs	Stanley David	07.09.1939	Portland / Oregon	16.01.1978	MSP	died 17.06.1989	1	6	23	55	married	two	USA	17.06.1989	Earle / Arkansas
Grissom	Virgil Ivan "Gus"	03.04.1926	Mitchell / Indiana	02.04.1959	CDR	died 27.01.1967	1	0	4	52	married	two	USA	27.01.1967	Cape Canaveral / Florida
Grunsfeld	John Mace	10.10.1958	Chicago / Illinois	31.03.1992	MSP	Ret. 04.01.2010	5	58	15	0	married	two	USA	 	 
Gutierrez	Sidney McNeill "Sid"	27.06.1951	Albuquerque / New Mexico	23.05.1984	CDR	Ret. 03.08.1994	2	20	8	3	married	three	USA	 	 
Hague	Tyler Nicklaus "Nick"	25.09.1975	Belleville / Kansas	17.06.2013	PLT	active	1	202	15	45	married	two	USA	 	 
Haise	Fred Wallace, Jr. "Freddo"	14.11.1933	Biloxi / Mississippi	04.04.1966	LMP	Ret. 29.06.1979	1	5	22	54	married	four	USA	 	 
Halsell	James Donald, Jr.	29.09.1956	Monroe / Louisiana	17.01.1990	CDR	Ret. ??.11.2006	5	52	10	30	married	two	USA	 	 
Ham	Kenneth Todd	12.12.1964	Plainfield / New Jersey	04.06.1998	CDR	Ret. 31.05.2012	2	25	12	41	married	two	USA	 	 
Hamel	Michael Anthony	24.12.1950	Minneapolis / Minnesota	??.08.1979	MSE	Ret. ??.05.1985	 	0	0	0	married	two	USA	 	 
Hammond	Lloyd Blaine, Jr.	16.01.1952	Savannah / Georgia	23.05.1984	PLT	Ret. 23.02.1998	2	19	6	11	married	one	USA	 	 
Harbaugh	Gregory Jordan	15.04.1956	Cleveland / Ohio	05.06.1987	MSP	Ret. 30.03.2001	4	34	1	59	married	three	USA	 	 
Harris	Bernard Anthony, Jr.	26.06.1956	Temple / Texas	17.01.1990	MSP	Ret. 15.04.1996	2	18	6	8	married	one	USA	 	 
Hart	Terry Jonathan "T.J."	27.10.1946	Pittsburgh / Pennsylvania	16.01.1978	MSP	Ret. 15.06.1984	1	6	23	40	married	two	USA	 	 
Hartsfield	Henry Warren, Jr. "Hank"	21.11.1933	Birmingham / Alabama	30.06.1966	CDR	Ret. ??.03.1988	3	20	2	50	married	two	USA	17.07.2014	Houston / Texas
Hathaway	Jack Stewart	??.10.1982	South Windsor, Connecticut	06.12.2021	PLT	active	 	0	0	0	 	 	USA	 	 
Hauck	Frederick Hamilton "Rick"	11.04.1941	Long Beach / California	16.01.1978	CDR	Ret. 03.04.1989	3	18	3	8	married	five	USA	 	 
Hawker	John Edward "Hawk"	12.11.1954	Pana / Illinois	??.09.1988	PSP	Ret. 04.01.1994	 	0	0	0	married	 	USA	 	 
Hawley	Steven Alan	12.12.1951	Ottawa / Kansas	16.01.1978	MSP	Ret. 27.02.2008	5	32	2	41	married	 	USA	 	 
Helms	Susan Jane	26.02.1958	Charlotte / North Carolina	17.01.1990	MSP	Ret. 28.07.2002	5	210	23	3	single	 	USA	 	 
Henize	Karl Gordon	17.10.1926	Cincinnati / Ohio	04.08.1967	MSP	Ret. ??.04.1986	1	7	22	45	married	four	USA	05.10.1993	Mt. Everest / Nepal
Hennen	Thomas John	17.08.1952	Albany / Georgia	??.09.1988	PSP	Ret. 01.12.1991	1	6	22	50	married	six	USA	 	 
Henricks	Terence Thomas "Tom"	05.07.1952	Bryan / Ohio	04.06.1985	CDR	Ret. 31.10.1997	4	42	18	37	married	three	USA	 	 
Hernández	José Moreno	07.08.1962	French Camp / California	06.05.2004	MSP	Ret. ??.01.2011	1	13	20	53	married	five	USA	 	 
Herres	Robert Tralles	01.12.1932	Denver / Colorado	30.06.1967	PLT	Ret. 10.06.1969	 	0	0	0	married	three	USA	24.07.2008	San Antonio / Texas
Herrington	John Bennett	14.09.1958	Wetumka / Oklahoma	01.05.1996	MSP	Ret. 09.09.2005	1	13	18	47	married	two	USA	 	 
Hieb	Richard James	21.09.1955	Jamestown / North Dakota	04.06.1985	MSP	Ret. 03.04.1995	3	31	22	34	married	two	USA	 	 
Higbee	Terry Alan	03.12.1949	Cedar City / Utah	??.08.1979	MSE	Ret. ??.08.1985	 	0	0	0	single	five	USA	 	 
Higginbotham	Joan Elizabeth Miller	03.08.1964	Chicago / Illinois	01.05.1996	MSP	Ret. 30.11.2007	1	12	20	44	divorced	 	USA	 	 
Hilliard Robertson	Patricia Consolatrix	12.03.1963	Indiana / Pennsylvania	04.06.1998	MSP	died 24.05.2001	 	0	0	0	married	 	USA	24.05.2001	Houston / Texas
Hilmers	David Carl	28.01.1950	Clinton / Iowa	19.05.1980	MSP	Ret. ??.??.1992	4	20	14	16	married	two	USA	 	 
Hines	Robert Thomas "Farmer", Jr.	11.01.1975	Fayetteville / North Carolina	07.06.2017	PLT	active	1	0	0	0	married	three	USA	 	 
Hire	Kathryn Patricia "Kay"	26.08.1959	Mobile / Alabama	08.12.1994	MSP	Ret. ??.03.2010	2	29	15	56	single	 	USA	 	 
Hobaugh	Charles Owen "Scorch"	05.11.1961	Bar Harbor / Maine	01.05.1996	CDR	Ret. 23.09.2011	3	36	7	46	married	four	USA	 	 
Hoburg	Warren Woodrow "Woody"	16.09.1985	Pittsburgh / Pennsylvania	07.06.2017	PLT	active	 	0	0	0	 	 	USA	 	 
Hoernig	Otto William, Jr.	21.07.1938	Kansas City / Missouri	??.06.1984	PSP	Ret. ??.??.1986	 	0	0	0	married	two	USA	 	 
Hoffman	Jeffrey Alan	02.11.1944	Brooklyn / New York	16.01.1978	MSP	Ret. ??.07.1997	5	50	11	53	married	two	USA	 	 
Hoffpauir	Michael Edward	17.11.1957	Fort Smith / Arkansas	??.06.1990	PSP	Ret. ??.??.1992	 	0	0	0	married	three	USA	 	 
Holder	Livingston Lionel, Jr. "Livvy"	29.09.1956	Detroit / Michigan	??.09.1982	MSE	Ret. ??.07.1988	 	0	0	0	married	two	USA	 	 
Holmquest	Donald Lee	07.04.1939	Dallas / Texas	04.08.1967	PLT	Ret. ??.09.1973	 	0	0	0	married	one	USA	 	 
Holt	Ray Glynn	28.11.1959	Plainview / Texas	20.06.1994	PSP	Ret. 05.11.1995	 	0	0	0	married	one	USA	 	 
Hopkins	Michael Scott	28.12.1968	Lebanon / Missouri	29.06.2009	MSP	active	2	333	12	54	married	two	USA	 	 
Horowitz	Scott Jay "Doc"	24.03.1957	Philadelphia / Pennsylvania	31.03.1992	CDR	Ret. ??.10.2004	4	47	10	38	married	three	USA	 	 
Hughes-Fulford	Millie Elizabeth	21.12.1945	Mineral Wells / Texas	09.01.1984	PSP	Ret. 14.06.1991	1	9	2	14	widowed	one	USA	02.02.2021	San Francisco / California
Hurley	Douglas Gerald	21.10.1966	Endicott / New York	26.07.2000	PLT	Ret. 16.07.2021	3	92	10	38	married	one	USA	 	 
Husband	Rick Douglas	12.07.1957	Amarillo / Texas	08.12.1994	CDR	died 01.02.2003	2	25	17	33	married	two	USA	01.02.2003	over Texas
Irwin	James Benson "Jim"	17.03.1930	Pittsburgh / Pennsylvania	04.04.1966	LMP	Ret. 31.07.1972	1	12	7	12	married	five	USA	08.08.1991	Glenwood City / Colorado
Isaacman	Jared	11.02.1983	/ New Jersey	??.??.20??	Tourist	active	1	2	23	3	married	two	USA	 	 
Ivins	Marsha Sue	15.04.1951	Baltimore / Maryland	23.05.1984	MSP	Ret. 31.12.2010	5	55	21	46	single	 	USA	 	 
James	Larry Dean	08.08.1956	Bristol / Virginia	??.09.1982	MSE	Ret. ??.12.1987	 	0	0	0	married	two	USA	 	 
Jarvis	Gregory Bruce	24.08.1944	Detroit / Michigan	05.07.1984	PSP	died 28.01.1986	 	0	0	0	married	three	USA	28.01.1986	Cape Canaveral / Florida
Jemison	Mae Carol	17.10.1956	Decatur / Alabama	05.06.1987	MSP	Ret. 08.03.1993	1	7	22	30	divorced	 	USA	 	 
Jernigan	Tamara Elizabeth "Tammy"	07.05.1959	Chattanooga / Tennessee	04.06.1985	MSP	Ret. 21.09.2001	5	63	1	24	married	 	USA	 	 
Jett	Brent Ward, Jr.	05.10.1958	Pontiac / Michigan	31.03.1992	CDR	Ret. ??.11.2007	4	41	17	58	married	 	USA	 	 
Johnson	Gregory Carl "Ray J"	30.07.1954	Seattle / Washington	04.06.1998	PLT	Ret. ??.??.20??	1	12	21	37	married	two	USA	 	 
Johnson	Gregory Harold "Box"	12.05.1962	South Ruislip / United Kingdom	04.06.1998	PLT	Ret. ??.08.2013	2	31	11	49	married	three	USA	 	 
Johnston	Mary Helen	17.09.1945	West Palm Beach / Florida	05.06.1983	PSP	Ret. 06.05.1985	 	0	0	0	married	 	USA	 	 
Jones	Charles Edward "Chuck"	08.11.1952	Clinton / Indiana	??.09.1982	MSE	Ret. ??.01.1987	 	0	0	0	married	 	USA	11.09.2001	New York City
Jones	Thomas David	22.01.1955	Baltimore / Maryland	17.01.1990	MSP	Ret. 07.09.2001	4	53	0	48	married	two	USA	 	 
Joseph	Daryl James	17.12.1949	Albuquerque / New Mexico	??.08.1979	MSE	Ret. ??.08.1985	 	0	0	0	single	 	USA	 	 
Kavandi	Janet Lynn	17.07.1959	Springfield / Missouri	08.12.1994	MSP	Ret. ??.??.2005	3	33	20	7	married	two	USA	 	 
Kelly	James McNeal "Vegas"	14.05.1964	Burlington / Iowa	01.05.1996	PLT	Ret. ??.12.2010	2	26	17	21	married	four	USA	 	 
Kelly	Mark Edward	21.02.1964	Orange / New Jersey	01.05.1996	CDR	Ret. 01.10.2011	4	54	2	2	married	two	USA	 	 
Kelly	Scott Joseph	21.02.1964	Orange / New Jersey	01.05.1996	CDR	Ret. 01.04.2016	4	520	10	30	married	two	USA	 	 
Kerwin	Joseph Peter	19.02.1932	Oak Park / Illinois	28.06.1965	SPT	Ret. 31.03.1987	1	28	0	50	married	three	USA	 	 
Kim	Jonathan Yong "Jonny"	05.02.1984	Los Angeles / California	07.06.2017	PLT	active	 	0	0	0	 	 	USA	 	 
Kimbrough	Robert Shane	04.06.1967	Killeen / Texas	06.05.2004	MSP	active	3	388	17	28	married	three	USA	 	 
Knight	William John "Pete"	18.11.1929	Noblesville / Indiana	20.09.1962	PLT	Ret. 10.12.1963	 	0	0	0	married	seven	USA	07.05.2004	Duarte / California
Koch	Christina Hammock "Nana"	29.01.1979	Grand Rapids / Michigan	17.06,2013	PLT	active	1	328	13	58	married	 	USA	 	 
Konrad	John Harrison	12.03.1949	Pontiac / Illinois	05.07.1984	PSP	Ret. ??.??.1988	 	0	0	0	married	three	USA	 	 
Kopra	Timothy Lennart	09.04.1963	Austin / Texas	26.07.2000	MSP	Ret. 28.06.2018	2	244	1	1	married	two	USA	 	 
Koszelak	Stanley Norbert, Jr.	20.10.1953	Oklahoma City / Oklahoma	04.10.1989	PSP	Ret. 20.02.1992	 	0	0	0	married	two	USA	 	 
Kregel	Kevin Richard	16.09.1956	New York City / New York	31.03.1992	CDR	Ret. 27.06.2002	4	52	18	19	married	four	USA	 	 
Kulin	Robb Michael	07.12.1983	Anchorage / Alaska	07.06.2017	PLT	Ret. 31.08.2018	 	0	0	0	 	 	USA	 	 
LaComb	Maureen Cecil	16.11.1956	Poughkeepsie / New York	??.09.1982	MSE	Ret. ??.09.1990	 	0	0	0	married	 	USA	 	 
Lampton	Michael Logan	01.03.1941	Williamsport / Pennsylvania	18.05.1978	PSP	Ret. ??.03.1992	 	0	0	0	married	one	USA	 	 
Lawrence	Robert Henry, Jr.	02.10.1935	Chicago / Illinois	30.06.1967	PLT	died 08.12.1967	 	0	0	0	married	one	USA	08.12.1967	Edwards AFB / California
Lawrence	Wendy Barrien	02.07.1959	Jacksonville / Florida	31.03.1992	MSP	Ret. ??.06.2006	4	51	3	54	married	 	USA	 	 
Lawyer	Richard Earl	08.11.1932	Los Angeles / California	12.11.1965	PLT	Ret. 10.06.1969	 	0	0	0	married	five	USA	12.11.2005	Palmdale / California
Lee	Mark Charles	14.08.1952	Viroqua / Wisconsin	23.05.1984	MSP	Ret. 01.07.2001	4	32	21	52	married	two	USA	 	 
Leestma	David Cornell	06.05.1949	Muskegon / Michigan	19.05.1980	MSP	Ret. ??.12.1992	3	22	4	32	married	six	USA	 	 
Lenoir	William Benjamin "Bill"	14.03.1939	Miami / Florida	04.08.1967	MSP	Ret. 00.10.1984	1	5	2	14	married	two	USA	26.08.2010	Albuquerque / New Mexico
Leslie	Fred Weldon	19.12.1951	Ancon / Panama	20.06.1994	PSP	Ret. 05.11.1995	1	15	21	52	single	 	USA	 	 
Lewis	Fred Parker, Jr.	02.03.1949	Cottonwood / Arizona	??.11.1985	PSP	Ret. ??.??.1986	 	0	0	0	 	 	USA	 	 
Lichtenberg	Byron Kurt	19.02.1948	Stroudsburg / Pennsylvania	18.05.1978	PSP	Ret. 02.04.1992	2	19	5	56	married	five	USA	 	 
Lind	Don Leslie	18.05.1930	Midvale / Utah	04.04.1966	MSP	Ret. ??.04.1986	1	7	0	8	married	seven	USA	 	 
Lindgren	Kjell Norwood	23.01.1973	Taipei, Taiwan	29.06.2009	MSP	active	2	141	16	9	married	three	USA	 	 
Lindsey	Steven Wayne	24.08.1960	Arcadia / California	08.12.1994	CDR	Ret. 05.07.2011	5	62	22	33	married	three	USA	 	 
Linenger	Jerry Michael	16.01.1955	Mt. Clemens / Michigan	31.03.1992	MSP	Ret. 23.02.1998	2	143	2	49	married	four	USA	 	 
Linnehan	Richard Michael	19.09.1957	Lowell / Massachusetts	31.03.1992	MSP	Ret. ??.12.2010	4	59	11	58	single	 	USA	 	 
Linteris	Gregory Thomas	04.10.1957	Demarest / New Jersey	??.02.1996	PSP	Ret. 17.07.1997	2	19	15	56	single	 	USA	 	 
Llewellyn	John Anthony	22.04.1933	Cardiff / Wales	04.08.1967	PLT	Ret. 06.09.1968	 	0	0	0	married	three	USA	02.07.2013	Madeira Beach / Florida
Lockhart	Paul Scott "Paco"	28.04.1956	Amarillo / Texas	01.05.1996	PLT	Ret. ??.??.2005	2	27	15	22	married	two	USA	 	 
Lopez-Alegria	Michael Eladio "LA"	30.05.1958	Madrid / Spain	31.03.1992	MSP	Ret. ??.03.2012	5	275	0	32	married	one	USA	 	 
Loria	Christopher Joseph "Gus"	09.07.1960	Newton / Massachusetts	01.05.1996	PLT	Ret. ??.??.2005	 	0	0	0	married	three	USA	 	 
Lounge	John Michael	28.06.1946	Denver / Colorado	19.05.1980	MSP	Ret. 20.06.1991	3	20	2	23	married	three	USA	01.03.2011	Houston / Texas
Lousma	Jack Robert	29.02.1936	Grand Rapids / Michigan	04.04.1966	CDR	Ret. 01.10.1983	2	67	11	13	married	four	USA	 	 
Love	Stanley Glen	08.06.1965	San Diego / California	04.06.1998	MSP	Ret. ??.11.2011	1	12	18	21	married	two	USA	 	 
Lovell	James Arthur, Jr. "Shaky"	25.03.1928	Cleveland / Ohio	17.09.1962	CDR	Ret. 01.03.1973	4	29	19	3	married	four	USA	 	 
Low	George David	19.02.1956	Cleveland / Ohio	23.05.1984	MSP	Ret. 20.02.1996	3	29	18	5	married	three	USA	15.03.2008	Reston / Virginia
Lu	Edward Tsang	01.07.1963	Springfield / Massachusetts	08.12.1994	MSP	Ret. ??.08.2007	3	205	23	16	married	 	USA	 	 
Lucid	Shannon Matilda Wells	14.01.1943	Shanghai / China	16.01.1978	MSP	Ret. ??.01.2012	5	223	2	50	married	three	USA	 	 
Lydon	Malcolm Webb	03.06.1946	Hartford / Connecticut	??.08.1979	MSE	Ret. ??.08.1986	 	0	0	0	married	one	USA	 	 
Macleay	Lachlan "Mac"	13.06.1931	St. Louis / Missouri	12.11.1965	PLT	Ret. 10.06.1969	 	0	0	0	married	three	USA	 	 
Magilton	Gerard Edward "Jerry"	07.05.1942	Philadelphia / Pennsylvania	08.04.1985	PSP	Ret. 18.01.1986	 	0	0	0	married	four	USA	 	 
Magnus	Sandra Hall	30.10.1964	Belleville / Illinois	01.05.1996	MSP	Ret. 21.10.2012	3	157	8	43	divorced	 	USA	 	 
Mann	Nicole Victoria Aunapu "Duke"	27.06.1977	Petaluma / California	17.06.2013	PLT	active	 	0	0	0	married	one	USA	 	 
Mantz	Michael Ray	16.02.1953	Pensacola / Florida	??.09.1982	MSE	Ret. ??.??.1987	 	0	0	0	married	one	USA	 	 
Marshburn	Thomas Henry "Tom"	29.08.1960	Statesville / North Carolina	06.05.2004	MSP	active	3	337	9	42	married	one	USA	 	 
Massimino	Michael James	19.08.1962	Oceanside / New York	01.05.1996	MSP	Ret. ??.03.2012	2	23	19	47	married	two	USA	 	 
Mastracchio	Richard Alan "Rick"	11.02.1960	Waterbury / Connecticut	01.05.1996	MSP	Ret. ??.07.2015	4	227	13	36	married	three	USA	 	 
Matthiesen	David Henry	31.08.1958	Blue Island / Illinois	20.06.1994	PSP	Ret. 05.11.1995	 	0	0	0	married	one	USA	 	 
Mattingly	Thomas Kenneth II "Ken"	17.03.1936	Chicago / Illinois	04.04.1966	CDR	Ret. ??.06.1985	3	21	4	34	divorced	one	USA	 	 
McArthur	Katherine Megan	30.08.1971	Honolulu / Hawaii	26.07.2000	MSP	active	2	212	15	21	married	one	USA	 	 
McArthur	William Surles, Jr. "Bill"	26.07.1951	Laurinburg / North Carolina	17.01.1990	MSP	Ret. ??.01.2012	4	224	22	16	married	two	USA	 	 
McAuliffe	Sharon Christa Corrigan	02.09.1948	Boston / Massachusetts	19.07.1985	PSP	died 28.01.1986	 	0	0	0	married	two	USA	28.01.1986	Cape Canaveral / Florida
McBride	Jon Andrew	14.08.1943	Charleston / West Virginia	16.01.1978	PLT	Ret. 12.05.1989	1	8	5	23	married	four	USA	 	 
McCandless	Bruce II	08.06.1937	Boston / Massachusetts	04.04.1966	MSP	Ret. 31.08.1990	2	13	0	31	married	two	USA	21.12.2017	Conifer / Colorado
McClain	Anne Charlotte "Annimal"	07.06.1979	Spokane / Washington	17.06.2013	PLT	active	1	203	15	16	divorced	 	USA	 	 
McCool	William Cameron "Willie"	23.09.1961	San Diego / California	01.05.1996	PLT	died 01.02.2003	1	15	22	20	married	three	USA	01.02.2003	over Texas
McCulley	Michael James	04.08.1943	San Diego / California	23.05.1984	PLT	Ret. ??.10.1990	1	4	23	39	married	six	USA	 	 
McDivitt	James Alton	10.06.1929	Chicago / Illinois	01.09.1972	CDR	Ret. 01.09.1972	2	14	2	56	married	six	USA	 	 
McKay	John Barron	08.12.1922	Portsmouth / Virginia	??.??.1960	PLT	Ret. ??.??.1962	 	0	0	0	married	eight	USA	27.04.1975	Lancaster / California
McMonagle	Donald Ray	14.05.1952	Flint / Michigan	05.06.1987	CDR	Ret. ??.07.1997	3	25	5	34	married	two	USA	 	 
McNair	Ronald Erwin	21.10.1950	Lake City / South Carolina	16.01.1978	MSP	died 28.01.1986	1	7	23	15	married	two	USA	28.01.1986	Cape Canaveral / Florida
Meade	Carl Joseph	16.11.1950	Chanute AFB / Illinois	04.06.1985	MSP	Ret. 29.02.1996	3	29	16	14	married	one	USA	 	 
Meir	Jessica Ulrika "Goose"	15.07.1977	Caribou / Maine	17.06.2013	PLT	active	1	204	15	18	single	 	USA	 	 
Melnick	Bruce Edward "Mel"	05.12.1949	New York City	05.06.1987	MSP	Ret. ??.07.1992	2	12	23	27	married	two	USA	 	 
Melroy	Pamela Ann	17.09.1961	Palo Alto / California	08.12.1994	CDR	Ret. ??.07.2009	3	38	20	3	married	 	USA	 	 
Melvill	Michael Winston "Mike"	30.11.1940	Johannesburg / South Africa	?	PLT	Ret. ??.10.2007	 	0	0	0	married	two	USA	 	 
Melvin	Leland Devon "Lee"	15.02.1964	Lynchburg / Virginia	04.06.1998	MSP	Ret. ??.10.2010	2	23	13	37	single	 	USA	 	 
Menon	Anna	 	 	??.??.2022	Tourist	active	 	0	0	0	married	two	USA	 	 
Menon	Anil Samoilenko	15.10.1976	Minneapolis, Minnesota	06.12.2021	PLT	active	 	0	0	0	married	two	USA	 	 
Metcalf-Lindenburger	Dorothy Marie "Dottie"	02.05.1975	Fort Collins / Colorado	06.05.2004	MSP	Ret. ??.04.2013	1	15	2	47	married	one	USA	 	 
Michel	Frank Curtis "Curt"	05.06.1934	LaCrosse / Wisconsin	28.06.1965	PLT	Ret. 04.08.1969	 	0	0	0	married	two	USA	23.02.2015	Houston / Texas
Mitchell	Edgar Dean "Ed"	17.09.1930	Hereford / Texas	04.04.1966	LMP	Ret. 01.10.1972	1	9	0	1	divorced	five	USA	 	 
Moghbeli	Jasmin	24.06.1983	Bad Nauheim, Germany	07.06.2017	PLT	active	 	0	0	0	married	 	USA	 	 
Morgan	Andrew Richard	05.02.1976	Morgantown / West Virginia	17.06.2013	PLT	active	1	271	12	47	married	four	USA	 	 
Morgan	Barbara Radding "Barby"	28.11.1951	Fresno / California	19.07.1985	MSP	Ret. ??.08.2008	1	12	17	55	married	two	USA	 	 
Morin	Lee Miller Emile	09.09.1952	Manchester / New Hampshire	01.05.1996	MSP	Ret. ??.??.2002	1	10	19	42	married	two	USA	 	 
Mullane	Richard Michael "Mike"	10.09.1945	Wichita Falls / Texas	16.01.1978	MSP	Ret. 01.08.1990	3	14	20	20	married	three	USA	 	 
Musgrave	Franklin Story	19.08.1935	Boston / Massachusetts	04.08.1967	MSP	Ret. 02.09.1997	6	53	9	55	married	six	USA	 	 
Nagel	Steven Ray	27.10.1946	Canton / Illinois	16.01.1978	CDR	Ret. 28.02.1995	4	30	1	34	married	two	USA	21.08.2014	Columbia / Missouri
Nelson	Clarence William, Jr. "Bill"	29.09.1942	Miami / Florida	09.11.1985	PSP	Ret. 18.01.1986	1	6	2	3	married	two	USA	 	 
Nelson	George Driver "Pinky"	13.07.1950	Charles City / Iowa	16.01.1978	MSP	Ret. 30.06.1989	3	17	2	43	married	two	USA	 	 
Neubeck	Francis Gregory "Greg"	11.04.1932	Washington, D.C.	12.11.1965	PLT	Ret. 10.06.1969	 	0	0	0	married	one	USA	 	 
Newman	James Hansen	16.10.1956	Chuuk (formerly Truk) / Micronesia	17.01.1990	MSP	Ret. ??.07.2008	4	43	10	7	married	three	USA	 	 
Nordsieck	Kenneth Hugh	19.02.1946	New York City	20.06.1984	PSP	Ret. 11.12.1990	 	0	0	0	single	 	USA	 	 
Noriega	Carlos Ismael	08.10.1959	Lima / Peru	08.12.1994	MSP	Ret. ??.01.2005	2	20	1	17	married	five	USA	 	 
Nowak	Lisa Marie Caputo	10.05.1963	Washington D.C.	01.05.1996	MSP	Ret. 07.03.2007	1	12	18	36	married	three	USA	 	 
Nyberg	Karen Lujean	07.10.1969	Parkers Prairie / Minnesota	26.07.2000	MSP	Ret. ??.10.2018	2	180	0	30	married	one	USA	 	 
O`Connor	Bryan Daniel "O.C."	06.09.1946	Orange / California	19.05.1980	CDR	Ret. 29.07.1991	2	15	23	18	married	two	USA	 	 
O'Hara	Loral Ashley	03.05.1983	Houston / Texas	07.06.2017	PLT	active	 	0	0	0	 	 	USA	 	 
O`Leary	Brian Todd	27.01.1940	Boston / Massachusetts	04.08.1967	PLT	Ret. 23.04.1968	 	0	0	0	divorced	two	USA	28.07.2011	Vilcabamba / Ecuador
Ochoa	Ellen Lauri	10.05.1958	Los Angeles / California	17.01.1990	MSP	Ret. ??.01.2003	4	40	19	37	married	two	USA	 	 
Odle	Randy Thomas	08.09.1951	Port Arthur / Texas	??.09.1982	MSE	Ret. ??.??.1986	 	0	0	0	married	 	USA	 	 
Oefelein	William Anthony "Bill"	29.03.1965	Ft. Belvoir / Virginia	04.06.1998	PLT	Ret. 01.06.2007	1	12	20	44	divorced	two	USA	 	 
Olivas	John Daniel "Danny"	25.05.1966	North Hollywood / California	04.06.1998	MSP	Ret. 25.05.2010	2	27	17	4	married	five	USA	 	 
Olsen	Gregory Hammond "Greg"	20.04.1945	Brooklyn / New York	06.07.2005	UKP	Ret. 11.10.2005	1	9	21	15	divorced	two	USA	 	 
Onizuka	Ellison Shoji	24.06.1946	Kealakekua, Kona / Hawaii	16.01.1978	MSP	died 28.01.1986	1	3	1	33	married	two	USA	28.01.1986	Cape Canaveral / Florida
Oswald	Stephen Scot	30.06.1951	Seattle / Washington	04.06.1985	CDR	Ret. ??.01.2000	3	33	22	30	married	three	USA	 	 
Overmyer	Robert Franklyn	14.07.1936	Lorain / Ohio	30.06.1966	CDR	Ret. ??.06.1986	2	12	2	22	married	three	USA	22.03.1996	Duluth / Minnesota
Pailes	William Arthur	26.06.1952	Hackensack / New Jersey	00.09.1982	MSE	Ret. ??.07.1987	1	4	1	44	married	one	USA	 	 
Parazynski	Scott Edward	28.07.1961	Little Rock / Arkansas	31.03.1992	MSP	Ret. 13.03.2009	5	57	15	31	married	two	USA	 	 
Parise	Ronald Anthony	24.05.1951	Warren / Ohio	20.06.1984	PSP	Ret. 18.03.1995	2	25	14	13	married	two	USA	09.05.2008	Silver Spring / Maryland
Parker	Robert Alan Ridley	14.12.1936	New York City / New York	04.08.1967	MSP	Ret. ??.??.1993	2	19	6	52	married	five	USA	 	 
Patrick	Nicholas James MacDonald	22.03.1964	Saltburn / United Kingdom	04.06.1998	MSP	Ret. 31.05.2012	2	26	14	50	married	three	USA	 	 
Pawelczyk	James Anthony "Jim"	20.09.1960	Buffalo / New York	??.03.1996	PSP	Ret. 03.05.1998	1	15	21	50	married	two	USA	 	 
Payton	Gary Eugene	20.06.1948	Rock Island / Illinois	??.08.1979	MSE	Ret. ??.08.1985	1	3	1	33	married	one	USA	 	 
Petersen	Forrest Silas "Pete"	16.05.1922	Holdrege / Nebraska	??.??.1958	PLT	Ret. 10.01.1962	 	0	0	0	married	four	USA	08.12.1990	Omaha / Nebraska
Peterson	Donald Herod	22.10.1933	Winona / Mississippi	30.06.1967	MSP	Ret. ??.12.1984	1	5	0	23	widowed	three	USA	27.05.2018	El Lago / Texas
Pettit	Donald Roy	20.04.1955	Silverton / Oregon	01.05.1996	MSP	active	3	369	16	41	married	two	USA	 	 
Phillips	John Lynch	15.04.1951	Fort Belvoir / Virginia	01.05.1996	MSP	Ret. ??.08.2011	3	203	17	22	married	two	USA	 	 
Phillips	Robert Ward	21.01.1929	Peoria / Illinois	09.01.1984	PSP	Ret. 14.06.1991	 	0	0	0	married	four	USA	26.02.2013	Fort Collins / Colorado
Pogue	William Reid	23.01.1930	Okemah / Oklahoma	04.04.1966	PLT	Ret. 01.09.1975	1	84	1	15	married	three	USA	03.03.2014	Cocoa Beach / Florida
Poindexter	Alan Goodwin "Dex"	05.11.1961	Pasadena / California	04.06.1998	CDR	Ret. ??.12.2010	2	27	21	8	married	two	USA	01.07.2012	Pensacola / Florida
Polansky	Mark Lewis "Roman"	02.06.1956	Paterson / New Jersey	01.05.1996	CDR	Ret. 30.06.2012	3	41	10	49	married	two	USA	 	 
Poteet	Scott "Kidd"	 	 	??.??.2022	Tourist	active	 	0	0	0	 	 	USA	 	 
Prahl	Joseph Markel	30.03.1943	Beverly / Massachusetts	05.08.1990	PSP	Ret. 09.07.1992	 	0	0	0	married	two	USA	19.04.2018	Cleveland / Ohio
Precourt	Charles Joseph	29.06.1955	Waltham / Massachusetts	17.01.1990	CDR	Ret. 11.03.2005	4	38	20	16	married	three	USA	 	 
Prinz	Dianne Kasnic	29.09.1938	Economy / Pennsylvania	09.08.1978	PSP	Ret. 06.08.1985	 	0	0	0	divorced	 	USA	12.10.2002	Arlington / Virginia
